SSID: Error 404_EXT
Datetime: Thu May 28 05:32:13 AM EDT 2026
Datetime_alt: 202605280532
Signal_Strength: 71
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=77.3 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=99.9 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=98.3 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=79.7 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=91.1 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=81.5 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=90.2 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=103 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=94.4 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=73.2 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=78.4 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=76.1 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=63.9 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=92.4 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=96.5 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=103 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=77.2 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=72.1 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=71.2 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=87.3 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=79.7 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=83.4 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=95.4 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=98.6 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=78.9 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=85.1 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=88.7 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=79.7 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=55.1 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=71.3 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=85.5 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=83.3 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=74.7 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=76.8 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=81.9 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=90.8 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=85.7 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=89.7 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=89.8 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=86.3 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=83.0 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=82.7 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=75.0 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=97.4 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=95.8 ms
